,pair_of_objects,cause_directions,confounders,confidences
370,officer // police officer,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
371,uniform // player,"['y-to-x', 'x-to-y', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
372,tennis // tennis player,"['y-to-x', 'x-to-y', 'x-to-y', 'y-to-x', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
373,tennis net // match,"['x-to-y', 'z-to-xy', 'z-to-xy', 'x-to-y', 'y-to-x']","['', '?', 'tennis', '', '']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
374,railings // fire extinguisher,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['building', '?', 'man made ', '?', '?']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_1']"
375,tower // sky,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'x-to-y']","['?', '?', '', '?', '']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_1']"
376,calf // goats,"['z-to-xy', 'x-is-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Farm/Open field', '', 'Agriculture', 'Barn', 'farms']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_3']"
377,hand // jacket,"['x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy']","['', 'person', '', '', '?']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
378,stoplight // traffic light,"['y-to-x', 'x-is-y', 'x-is-y', 'y-to-x', 'x-is-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
379,light // window,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy', 'x-to-y', 'z-to-xy']","['', '', '', '', 'indoor scene', '', 'sun']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
380,necklace // woman,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
381,shoes // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', 'person', 'Person', 'outfit', 'outfit']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
382,hamburger // pickle,"['x-to-y', 'x-to-y', 'z-to-xy', 'y-to-x', 'x-to-y']","['', '', 'Food', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
383,salt // greens,"['y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy', 'z-to-xy']","['', '', '', '?', 'food']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
384,pancakes // banana slice,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['breakfast/snack', 'breakfast', 'Food', 'Breakfast', 'food']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
385,trains // train station,"['y-to-x', 'y-to-x', 'x-to-y', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
386,plain // tusk,"['x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y']","['', 'Elephants', '', '', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
387,computers // monitor,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
388,tissues // hand towel,"['z-to-xy', 'x-is-y', 'z-to-xy', 'x-to-y', 'x-is-y']","['?', '', 'wiping', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
389,"police // fire truck,firetruck","['x-is-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Emergency', 'emergency', 'Emergency', 'emergency services']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
390,shoe // head,"['x-is-y', 'z-to-xy', 'y-to-x', 'z-to-xy', 'y-to-x']","['?', 'Person', '', 'man', '']","['confidence_1', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
391,kayak // life jacket,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
392,skater // skate park,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
393,mango // pear,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Fruits', 'fruits', 'Orchard', 'fruit tree']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
394,jersey // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['person', 'Occasion/Event', 'person', '', 'Person']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
395,trees // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'location', '?', '?', 'Wind']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
396,word // man,"['y-to-x', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['', 'situation', '', '?', 'Event']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
397,lock // suit jacket,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', 'occasion ', 'person', '?', 'Wearer']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
398,window // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['person', 'location', '?', '?', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
399,tree // table,"['x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy', 'x-to-y']","['', 'location', '', '?', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
400,trees // shirt,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['?', 'location', '', '?', 'House']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_3']"
401,ground // table,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
402,wall // sky,"['x-to-y', 'y-to-x', 'x-to-y', 'x-to-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_1', 'confidence_3']"
403,goose // swan,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-is-y', 'x-is-y']","['lake', 'water', 'water', '', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
404,pilot // cockpit,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_3']"
405,ski lift // skiers,"['y-to-x', 'x-to-y', 'y-to-x', 'y-to-x', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_1', 'confidence_3']"
406,oven door // burners,"['z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['oven', 'kitchen', '', '?', 'Stove']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
407,trees // fence,"['x-to-y', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '', 'people', '?', 'Outside']","['confidence_3', 'confidence_1', 'confidence_1', 'confidence_2', 'confidence_2']"
408,laptops // computer monitor,"['y-to-x', 'x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y']","['', '', 'electric energy', '', '']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_2']"
409,male // statues,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x']","['man', '', 'Artists', '?', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
410,chicken // veggie,"['z-to-xy', 'y-to-x', 'y-to-x', 'z-to-xy', 'z-to-xy']","['meal', '', '', '?', 'Dinner']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_3']"
411,roof // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['Ceiling Shirt Hanger ', '?', '?', '?', '?', '', 'man']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_3']"
412,parking meter // meter,"['y-to-x', 'z-to-xy', 'x-is-y', 'y-to-x', 'x-is-y']","['', '?', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
413,tie // jacket,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Formal Attire ', '?', 'Suit', 'Person', 'suit']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
414,mesh // netting,"['z-to-xy', 'z-to-xy', 'x-is-y', 'y-to-x', 'x-is-y']","['interlaced structures', '?', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
415,snowboarder // ski boot,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['Winter Or Ice Sports', '', '', '', '']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_3']"
416,plain // elephants,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['Forestry land for animals ', '', '', '', '']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_3']"
417,railings // fire escape,"['z-to-xy', 'y-to-x', 'y-to-x', 'x-to-y', 'z-to-xy']","['Building Stairs and sections ', '', '', '', 'building']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_2']"
418,pants // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Sky blue coloured pants ', '?', '?', '?', '?']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_2']"
419,hamburger // fries,"['z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy', 'z-to-xy']","['fast food', '', '', 'Fast food', 'fast food']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_3']"
420,radio // alarm clock,"['z-to-xy', 'y-to-x', 'x-to-y', 'z-to-xy', 'z-to-xy']","['?', '', '', 'room', 'Home']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
421,face // sky,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['?', '?', '', 'place', 'Existence']","['confidence_2', 'confidence_1', 'confidence_1', 'confidence_2', 'confidence_1']"
422,oven // field,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['?', '?', '?', 'Location', '']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_1']"
423,bush // trees,"['z-to-xy', 'z-to-xy', 'x-is-y', 'z-to-xy', 'z-to-xy']","['forest', 'Outside', '', 'location', 'land']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
424,burger // veggies,"['z-to-xy', 'x-to-y', 'y-to-x', 'z-to-xy', 'z-to-xy']","['?', '', '', 'meal', 'Food']","['confidence_1', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
425,sandwiches // chips,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '', 'lunch', 'meal', 'Agriculture']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
426,tennis player // tennis court,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'x-to-y']","['?', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
427,window // head,"['z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['?', '?', '', 'location', 'House']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_2']"
428,knives // tennis shoe,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Chef', '?', 'location', 'Human']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_1']"
429,streamer // tails,"['z-to-xy', 'y-to-x', 'x-to-y', 'x-to-y', 'z-to-xy']","['?', '', '', '', '?']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
430,doorknob // portrait,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-is-y']","['?', 'Wall', 'room', 'bedroom', 'living room']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
431,clouds // trees,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Outside', 'savanna', 'Earth', 'outdoors']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
432,head // table,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['?', 'Waiter', '', '?', '?']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
433,snowsuit // skiers,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
434,floret // broccoli,"['z-to-xy', 'y-to-x', 'y-to-x', 'x-is-y', 'y-to-x']","['?', '', '', '', '']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
435,water // jacket,"['z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y']","['?', 'Outside', '', '', '']","['confidence_1', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
436,people // shoe,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'y-to-x']","['', '', '', '', '']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
437,"sidewalk,side walk // street","['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
438,grass // field,"['x-to-y', 'x-is-y', 'y-to-x', 'x-to-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
439,pole // sign,"['x-to-y', 'y-to-x', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
440,hand // tree,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', '?', '?']","['confidence_1', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_2']"
441,sinks // soap,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'z-to-xy']","['', '', '', '', 'washroom']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
442,head // pants,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['person', 'Person', '', 'people', 'person']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
443,device // remotes,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
444,pitcher's mound // umpire,"['x-to-y', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['', 'Stadium', 'baseball', '', 'baseball']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
445,player // man,"['y-to-x', 'x-is-y', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
446,crowd // man,"['y-to-x', 'x-to-y', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
447,room // wall,"['x-to-y', 'z-to-xy', 'x-to-y', 'y-to-x', 'x-to-y']","['', 'building', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
448,electronics // speakers,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
449,head // shorts,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['sunny outside', '?', 'Person', 'Human', 'woman']","['confidence_1', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_3']"
450,stone wall // gas station,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['construction worker', '?', 'Outside', 'Old construction/Outdoor', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_2']"
451,window // door,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Walls', 'building', 'Wall', 'House', 'room']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
452,hair // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['head/neck', '?', 'Person', 'Human', 'man']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
453,intersection // median,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['', '?', 'Road', 'Mathematics', '']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_1']"
454,outfield // umpire,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['', 'baseball', 'Baseball field', 'Sports', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
455,room // chair,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
456,clouds // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Rain could influence the presence of clouds and hair. People would be more inclined to cover their hair in bad weather. ', '?', '?', 'Pilot', '?']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
457,nose // ear,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Genes influence the presence of both ears and the nose.', 'head', 'face', 'Face', 'face']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
458,suit // shirt,"['y-to-x', 'y-to-x', 'z-to-xy', 'x-to-y', 'y-to-x']","['', '', '?', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
459,goose // geese,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
460,ski suit // skier,"['x-to-y', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
461,sunglasses // man,"['z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['The weather influences the presence of the sunglasses and the man.', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
462,wall // building,"['y-to-x', 'x-to-y', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
463,gear // rims,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-is-y', 'x-to-y']","['The engine would influence the presence of gears and rims', 'car', '?', '', '']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_2', 'confidence_3']"
464,eye // nose,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'face', 'face', 'Face', 'face']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
465,lunch // pickle,"['x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y']","['', '', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
466,"stove top,stovetop // burners","['x-is-y', 'z-to-xy', 'z-to-xy', 'x-to-y', 'x-is-y']","['', 'stove', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_2']"
467,rock // water,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'land', '?', 'Outside', 'underground']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
468,sand // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'earth', '?', 'Desert', 'earth']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
469,logo // tree,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'sign', '?', '?', '?']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_1', 'confidence_3']"
470,cable // ski lift,"['x-to-y', 'x-to-y', 'z-to-xy', 'y-to-x', 'x-to-y']","['', '', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
471,radio // stereo,"['x-is-y', 'x-to-y', 'z-to-xy', 'x-is-y', 'y-to-x']","['', '', '?', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
472,ear // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'head', 'head', 'Face', 'head']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
